,Year,Station Name,State,rain_sum
222,1992,PEDRO AFONSO ,TO,1455.400000000001
223,1992,PEIXE ,TO,1776.6999999999996
224,1992,PORTO DE MOZ ,PA,1584.6000000000004
225,1992,PORTO NACIONAL ,TO,1404.8999999999996
226,1992,SAO FELIX DO XINGU ,PA,1734.8999999999999
227,1992,SAO LUIS ,MA,1198.3999999999992
228,1992,SOURE ,PA,2488.299999999997
229,1992,TRACUATEUA ,PA,1749.3999999999999
230,1992,TUCURUI ,PA,1477.2000000000003
231,1992,TURIACU ,MA,1463.799999999999
232,1992,ZE DOCA ,MA,1742.1999999999991
233,1993,ALTAMIRA ,PA,1825.7
234,1993,ALTO PARNAIBA ,MA,1153.8999999999996
235,1993,ARAGUAINA ,TO,1464.1999999999991
236,1993,BACABAL ,MA,1366.2
237,1993,BALSAS ,MA,956.0000000000001
238,1993,BARCELOS ,AM,2330.0
239,1993,BARRA DO CORDA ,MA,1008.7000000000002
240,1993,BELEM ,PA,3231.5999999999985
241,1993,BELTERRA ,PA,1508.3000000000006
242,1993,BENJAMIN CONSTANT ,AM,2194.0
243,1993,BOA VISTA ,RR,1146.1000000000001
244,1993,CAMETA ,PA,2548.2
245,1993,CARACARAI ,RR,306.7
246,1993,CAROLINA ,MA,1858.7000000000003
247,1993,CAXIAS ,MA,1025.8000000000004
248,1993,CHAPADINHA ,MA,1278.8999999999992
249,1993,COARI ,AM,2916.499999999999
250,1993,CODAJAS ,AM,4004.099999999997
251,1993,COLINAS ,MA,981.9000000000005
252,1993,CONCEICAO DO ARAGUAIA ,PA,1538.8
253,1993,CRUZEIRO DO SUL ,AC,2244.6999999999994
254,1993,CUIABA ,MT,579.3000000000001
255,1993,DIAMANTINO ,MT,849.7
256,1993,EIRUNEPE ,AM,1869.2000000000023
257,1993,FONTE BOA ,AM,2089.800000000001
258,1993,GLEBA CELESTE ,MT,178.49999999999997
259,1993,IAUARETE ,AM,3468.1999999999994
260,1993,IMPERATRIZ ,MA,1553.5000000000002
261,1993,ITACOATIARA ,AM,2250.900000000001
262,1993,ITAITUBA ,PA,2103.3
263,1993,LABREA ,AM,2850.999999999999
264,1993,MACAPA ,AP,2291.8999999999987
265,1993,MANAUS ,AM,2523.3999999999996
266,1993,MANICORE ,AM,2770.8
267,1993,MARABA ,PA,1771.6000000000004
268,1993,MONTE ALEGRE ,PA,1686.6000000000006
269,1993,OBIDOS ,PA,1815.6000000000001
270,1993,PADRE RICARDO REMETTER ,MT,840.8999999999997
271,1993,PALMAS ,TO,225.1
272,1993,PARINTINS ,AM,2371.199999999999
273,1993,PEDRO AFONSO ,TO,606.7000000000003
274,1993,PEIXE ,TO,867.5999999999997
275,1993,PORTO DE MOZ ,PA,2174.8
276,1993,PORTO NACIONAL ,TO,810.4000000000001
277,1993,RIO BRANCO ,AC,2012.4000000000005
278,1993,S G DA CACHOEIRA UAUPES  ,AM,3190.7000000000003
279,1993,SAO FELIX DO XINGU ,PA,1598.5000000000007
280,1993,SAO LUIS ,MA,1637.4999999999998
281,1993,SOURE ,PA,3111.0000000000005
282,1993,TARAUACA ,AC,948.8000000000001
283,1993,TEFE ,AM,2140.4
284,1993,TRACUATEUA ,PA,2153.499999999999
285,1993,TUCURUI ,PA,2292.7000000000007
286,1993,TURIACU ,MA,1451.8999999999994
287,1993,ZE DOCA ,MA,2000.4999999999998
288,1994,ALTAMIRA ,PA,2133.200000000001
289,1994,ALTO PARNAIBA ,MA,1423.3000000000006
290,1994,ARAGUAINA ,TO,259.8999999999999
291,1994,BACABAL ,MA,2019.999999999999
292,1994,BALSAS ,MA,1125.2000000000005
293,1994,BARCELOS ,AM,2345.899999999999
294,1994,BARRA DO CORDA ,MA,1363.8000000000002
295,1994,BELEM ,PA,3226.8000000000025
296,1994,BELTERRA ,PA,2290.3999999999996
297,1994,BENJAMIN CONSTANT ,AM,2447.2000000000003
298,1994,BOA VISTA ,RR,1582.8999999999992
299,1994,CACERES ,MT,166.1
300,1994,CAMETA ,PA,3402.5999999999976
301,1994,CARACARAI ,RR,784.8999999999999
302,1994,CAROLINA ,MA,1773.7999999999993
303,1994,CAXIAS ,MA,1701.5
304,1994,CHAPADINHA ,MA,1700.8000000000002
305,1994,COARI ,AM,2878.8999999999987
306,1994,CODAJAS ,AM,3622.3999999999974
307,1994,COLINAS ,MA,1441.0
308,1994,CONCEICAO DO ARAGUAIA ,PA,1976.6000000000004
309,1994,CRUZEIRO DO SUL ,AC,2140.400000000001
310,1994,DIAMANTINO ,MT,1433.2999999999997
311,1994,EIRUNEPE ,AM,2634.3999999999983
312,1994,FONTE BOA ,AM,2369.0000000000014
313,1994,GLEBA CELESTE ,MT,365.4
314,1994,IAUARETE ,AM,2736.9999999999995
315,1994,IMPERATRIZ ,MA,1952.6999999999994
316,1994,ITACOATIARA ,AM,2592.2999999999997
317,1994,ITAITUBA ,PA,2463.1999999999985
318,1994,LABREA ,AM,2495.3999999999983
319,1994,MACAPA ,AP,2645.7000000000007
320,1994,MANAUS ,AM,2302.100000000001
321,1994,MANICORE ,AM,2580.400000000002
322,1994,MARABA ,PA,2042.9999999999989
323,1994,MONTE ALEGRE ,PA,1942.8999999999996
